"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-05","0.00",,"61","69","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-06","0.68",,"65","73","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-07","0.03",,"67","79","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-08","0.33",,"64","71",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-09","0.00",,"61","65","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-10","0.24",,"61","68",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-11","0.02",,"58","62","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-12","0.01",,"56","62","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-13","0.00",,"54","60","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-14","0.00",,"51","56",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-15","0.00",,"45","53","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-16","0.00",,"50","58","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-17","0.01",,"51","57",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-18","0.04",,"47","56","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-19","0.00",,"44","53","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-20","0.00",,"51","61","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-21","0.05",,"54","60",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-22","0.20",,"54","61","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-23","0.06",,"54","60","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-24","0.09",,"59","64","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-25","0.07",,"54","64","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-26","0.01",,"55","63","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-27","0.00",,"52","64","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-28","0.00",,"53","65","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-29","0.01",,"54","61",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-30","0.02",,"48","55","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-31","0.00",,"53","61","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-01","0.01",,"58","64","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-02","0.58",,"49","61",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-03","0.06",,"51","57","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-04","0.28",,"49","55","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-05","0.02",,"49","56","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-06","0.09",,"48","54","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-07","0.13",,"47","52",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-08","0.06",,"44","48","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-09","0.01",,"45","50","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-10","0.00",,"45","50","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-11","0.00",,"43","50","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-12","0.05",,"51","57","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-13","0.00",,"59","66","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-14","0.00",,"56","61","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-15","0.18",,"53","59","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-16","0.15",,"56","61","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-17","0.13",,"52","58","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-18","0.09",,"51","57","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-19","0.00",,"50","56","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-20","0.01",,"54","61","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-21","0.03",,"58","62","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-22","0.23",,"53","62",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-23","0.04",,"53",,"48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-24","0.16",,"57","59",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-25","0.00",,"51","56",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-26","0.12",,"49","53","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-27","0.07",,"48","52","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-28","0.00",,"49","52","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-29","0.14",,"48","52",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-11-30","0.10",,"43","46","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-01","0.20",,"45","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-02","0.00",,"45",,"40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-03","0.16",,"48","52",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-04","0.00",,"42","48","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-05","0.10",,"50","56","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-06","0.16",,"52","57",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-07","0.07",,"46","51","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-08","0.06",,"45","51","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-09","0.23",,"52","56","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-10","0.13",,"51","56",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-11","0.00",,"45","50","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-12","0.01",,"40","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-13","0.00",,"35","40",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-14","0.00",,"32","35","30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-15","0.00",,"30","33","27"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-16","0.00",,"31","35",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-17","0.00","2","30",,"27"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-18","0.01","2","29","35",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-19","0.00","1","28","31","25"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-20","0.00","1","31","37","25"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-21","0.00","0","33","38","25"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-22","0.01",,"37","39","33"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-23","0.01",,"37","41","31"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-24","0.00",,"38",,"34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-25","0.37",,"41","46",
